INFO:root:-----------------------------------Start of the new Session at Mon Oct  8 14:28:35 2018-------------------------------
INFO:root:No of blocks in node 1002 is 8
DEBUG:root:133, 1003, broadcasting, data, 99908
DEBUG:root:133,1003, received, block, 99908
DEBUG:root:133,1003, interrupted, block, 99908 
INFO:root:No of blocks in node 1003 is 8
DEBUG:root:133, 1001, broadcasting, data, 99908
DEBUG:root:133,1001, received, block, 99908
DEBUG:root:133,1001, interrupted, block, 99908 
INFO:root:No of blocks in node 1001 is 8
DEBUG:root:134,1000,received,transaction,2314 
DEBUG:root:134, 1000, broadcasting, data, 2314
DEBUG:root:135, 1000, broadcasting, data, 99906
DEBUG:root:135,1000, received, block, 99906
DEBUG:root:135,1000, interrupted, block, 99906 
INFO:root:No of blocks in node 1000 is 6
DEBUG:root:135, 1000, broadcasting, data, 99907
DEBUG:root:135,1000, received, block, 99907
DEBUG:root:135,1000, interrupted, block, 99907 
INFO:root:No of blocks in node 1000 is 7
DEBUG:root:136, 1000, broadcasting, data, 99908
DEBUG:root:136,1000, received, block, 99908
DEBUG:root:136,1000, interrupted, block, 99908 
INFO:root:No of blocks in node 1000 is 8
DEBUG:root:140, 1002,Appended, Transaction, 2315
DEBUG:root:140, 1002, broadcasting, data, 2315
DEBUG:root:141,1003,received,transaction,2315 
DEBUG:root:141, 1003, broadcasting, data, 2315
